index,subject,url,job_desc
0,Data Engineer Lead,https://www.linkedin.com/jobs/view/2819031657/?eBP=CwEAAAF9tCL5EEO3ss3BZrJdM4Z5YkXjELL8p2L5Bc9yvxMCOmppij7x7gN6974d51ossj_ou3XNN1a7FQgZbudLzTMjrg1r-TyN1yqADDJgrGhUdCcQIJRu66bjdxs_8717cI5ZSscQJkGH7m9hRx3MjgUzFEqBMRGF_cdX_njBXizLd0ah2xhtuETApVJQtI13rv6Yq5lfl6thi28j61VpkqaayRaeB6BDQy42OVILbyOhCqUggZnBSY2F5rscNaR2EqSbiCw6qH2KEqICHbbwOQKxahcZWXCkqx03hO2a5O8aDxid2TMxj_6F2dPKeeZ99ehfhThbe4ni7ddNsqApkbPKfH4pLliq8n9a1SNVjlM5NreHwyNTy5rmaUS6gHg&recommendedFlavor=SCHOOL_RECRUIT&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=FvvrGmfsSvnBTyYBk5wzgA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Rightpoint, a Genpact company (NYSE: G) is a global experience leader. Over 700 employees across 12 offices work with clients end-to-end, from defining and enabling vision, to ensuring ongoing market relevance. Our diverse teams lead with empathy, data and creativity—always in service of the experience. From whiteboard to roll-out, we help our clients embed experience across their operations from front to back office to accelerate digital transformation through a human-centric lens. Rightpoint has been recognized among the top customer experience consultancies in The Forrester Wave™: Customer Experience Strategy Consulting Practices, Q4 2020."
1,Data Integration Engineer,https://www.linkedin.com/jobs/view/2836763830/?eBP=CwEAAAF9tCL5EeVFkWY2EbVy8k0nSHBNAnV4RWN2U3rVvpqgcjjVBaz4FdiBOnu0s8yNZCXDCwhv3b-K6SQ1QAxLyWhvFy9rhvqU-eKpTg79mW7TjRbPnAiW8iFPCF-jT7gJ-Lb-56no-Le5dvc_9qLIHzvqlvhGzU248v5SCyVVe1SU3gbCtsEXhDP684UQfm6NHrqwCzrfXcHS11SKxy2dMRygy1TFqkECl63sNqlmlSP5WvQ6tUxxD18L99_zXUWReF0IQOimE6DVcN4C-LUs2HS9OPKr9zIj9tdskOm_0CZx0dZosKX-4TEQsNO1j2M5EvgGfCzKQbQyNTkxkvQFQg2z0u_A7dpFpGJJGIcbN5i3KClhD9f62s1Ll_vh8zM&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=6hBV1onoPJLWEVhD%2FXLYQQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
This is a remote position that can be located anywhere in the US. Several locations have been listed for marketing purposes only - Only one position is available.

Our work at Hach ensures water quality for people around the world. Our customer partnerships, passionate experts, and reliable, easy-to-use solutions make water analysis better—faster, simpler, greener, and more informative. As a member of our team, you’ll get to make an immediate, measurable impact on a global scale, within industries from aviation to manufacturing to mining. You’ll also be part of an environment that fosters career growth and professional development, with kindness at its core. And you’ll be part of our mission, which drives us to develop water quality solutions that protect the health and safety of all living things.

Hach is proud to be one of Danaher's Water Quality companies. Motivated by the highest possible stakes of climate change and global health, we’re working together within a rapidly digitizing industry to find innovative technologies that guarantee the safety of our water and our environment.



The Integration Engineer (IE) will be accountable for efficient design, successful delivery, and maintenance of data and application integration and interoperability solutions. Collaborate with the business and the Global Data Governance (GDG) organization to serve Hach’s current and future data needs. Role will prioritize, deliver, and maintain a repository of real time, near real time, and batch data integrations.

You'll fully use integration platforms (e.g., Talend) and numerous applications as sources and targets to enable business critical data forward and reverse ELT and ETL processes.

Key Responsibilities

Minimum Qualifications:

The salary range for this role is $71k-100k USD. This is the range that we in good faith believe is the range of possible compensation for this role at the time of this posting. We may ultimately pay more or less than the posted range and this range is only applicable for jobs to be performed in Colorado. This range may be modified in the future.

This job is also eligible for bonus, incentive pay.

We offer comprehensive package of benefits including paid time off, medical/dental/vision insurance and 401(k) to eligible employees.

Note: No amount of pay is considered to be wages or compensation until such amount is earned, vested, and determinable. The amount and availability of any bonus, commission, benefits, or any other form of compensation and benefits that are allocable to a particular employee remains in the Company's sole discretion unless and until paid and may be modified at the Company’s sole discretion, consistent with the law.

When you join us, you’ll also be joining Danaher’s global organization, where 69,000 people wake up every day determined to help our customers win. As an associate, you’ll try new things, work hard, and advance your skills with guidance from dedicated leaders, all with the support of powerful tools and the stability of a tested organization.

Danaher Corporation and all Danaher Companies require all US and Puerto Rico employees to be fully vaccinated against COVID–19 as a condition of employment, subject to reasonable accommodation as required by law.

Danaher Corporation and all Danaher Companies are committed to equal opportunity regardless of race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity, or other characteristics protected by law. We value diversity and the existence of similarities and differences, both visible and not, found in our workforce, workplace and throughout the markets we serve. Our associates, customers and shareholders contribute unique and different perspectives as a result of these diverse attributes.

The EEO posters are available .

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform crucial job functions, and to receive other benefits and privileges of employment. Please contact us at applyassistance@danaher.com to request accommodation.

If you’ve ever wondered what’s within you, there’s no better time to find out."
2,"Principal Data Engineer, Data Platform",https://www.linkedin.com/jobs/view/2818408138/?eBP=CwEAAAF9tCL5ETS89J5apeJgH175Mz9xCilNB-t59mwo3-3t5wcF1nHNUHjvttDdda5az2qiG74SnDcQhdQ6HFYyrrIw8HMIBZ2TdaSg9G2PxXANUSfdWx7hNVNTubrxy4yJqSCGKcmPzvSNO76vv-qLOprNqbSYFlfqheDFTxBch6j-RLpE7fECcVcXbahlo3L2n7M1kHKqGVq51ztOBJVtxwCGi-K19c4vX1MjbvNJXjZLAZYbZvzoZloaCSK79DV-xP8BnHklBKqcxZDHRJ4Hdn7Vum97Ct74AfyzuFQBLU-fqmap-vx6VVKpWrz6raBcJFb4P4FlUkmZe7Nt6TWEe6YudEzG0TdOfn0r4bd6GL7_ssUZNOzc3ief2DoeoDQ&recommendedFlavor=IN_NETWORK&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=HDlmnXNZF8grx7Rb289cIA%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Indigo is a company dedicated to harnessing nature to help farmers sustainably feed the planet. With a vision of creating a world where farming is an economically desirable and accessible profession, Indigo works alongside its growers to apply natural approaches, grow healthy food for all, and conserve resources for future generations. Utilizing beneficial plant microbes to improve crop health and productivity, Indigo’s portfolio is focused on cotton, wheat, rice, corn, and soybeans. The company is headquartered in Boston, MA, with commercial and customer service based in Memphis, TN. www.indigoag.com"
3,Data Engineer,https://www.linkedin.com/jobs/view/2835872904/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=COMPANY_RECRUIT&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=tlQcOy97uNzookr09Cw3Nw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Description

The Amazon Web Services’ (AWS) Event Technology team is looking for a Data Engineer (DE) with a passion for working on cutting edge technology, who obsesses over bar raising experiences for customers, and thrives on the challenge of building something new that will operate at world-wide scale to join our fast paced team. In this role, you will be responsible for implementing modern, creative, and innovative data experiences across a breadth of customer facing web apps, our data warehouse for reporting, and integration with third party applications.

If you are passionate about building state-of-the-art web applications and services that focus on simplicity, innovation, performance, consider applying for this role! Your work will have high visibility across AWS internally, and the global AWS community of developers and users.

What you will work on: The Events Technology team is building a new platform entirely on cutting edge AWS services - including CloudFront, API Gateway, Lambda, GraphQL, SQS, DynamoDB and more, with state-of-the-art open source front end frameworks, libraries, and toolchains to deliver a set of highly scalable, performant, serverless, and responsive webapps for our global events organization. Our application will be used by millions of users each year and generate significant amounts of data through which we can continually improve our customers’ experiences. You will own the end to end data pipeline from infrastructure to insights. Your work will have high visibility across the AWS team and global AWS community of developers and users.

What we are looking for: We are looking for a passionate data engineer to develop a robust, scalable data model and optimize the consumption of data sources we require to generate unique insights about our systems. You will share in the ownership of the technical vision and direction for advanced analytics and insight products. You will work with top-notch technical professionals developing complex systems at scale and with a focus on sustained operational excellence. Members of this team will be challenged to innovate using the latest big data techniques. We are looking for people who are motivated by thinking big, moving fast, and exploring business insights. If you love to implement solutions to hard problems while working hard, having fun, and making history, this may be the opportunity for you.

We want a person with a commitment to team work, who enjoys working on cutting edge technology in a fast-paced environment, is customer centric, and thrives on the challenge of building something new that will operate at world-wide scale.



In this role, you will have the opportunity to display your skills in the following areas:

Location: This role open to these locations: Seattle & Dallas. Relocation offered from within the US to any of these locations.

Inclusive Team Culture

Here at AWS, we embrace our differences. We are committed to furthering our culture of inclusion. We have twelve employee-led affinity groups, reaching 40,000 employees in over 190 chapters globally. We have innovative benefit offerings, and host annual and ongoing learning experiences, including our Conversations on Race and Ethnicity (CORE) and AmazeCon (gender diversity) conferences. Amazon’s culture of inclusion is reinforced within our 14 Leadership Principles, which remind team members to seek diverse perspectives, learn and be curious, and earn trust.

Work/Life Balance

Our team puts a high value on work-life balance. It isn’t about how many hours you spend at home or at work; it’s about the flow you establish that brings energy to both parts of your life. We believe striking the right balance between your personal and professional life is critical to life-long happiness and fulfillment. We offer flexibility in working hours and encourage you to find your own balance between your work and personal lives.

Mentorship & Career Growth

Our team is dedicated to supporting new members. We have a broad mix of experience levels and tenures, and we’re building an environment that celebrates knowledge sharing and mentorship. We care about your career growth and strive to assign projects based on what will help each team member develop into a better-rounded professional and enable them to take on more complex tasks in the future.




Location: This role open to these locations: Seattle, Boston, Dallas, TX & Arlington, VA. Relocation offered from within the US to any of these locations.



Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


- Amazon Web Services, Inc.

Job ID: A1391585"
4,Data Engineer(Remote),https://www.linkedin.com/jobs/view/2801440112/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=IN_NETWORK&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=Jjx0coCN07%2FGmkScdzYFkw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Are you looking for the opportunity to shape the future of data engineering at a fast-growing company? If you’re a Data Engineer, looking for the next challenge to help scale our production and analytics databases to handle massive volume, then the Platforms team at ASICS Digital has the role for you!

ASICS Digital creates and brings to market cutting-edge digital apps and products for the ASICS brand. With over 50 million users, we possess an incredible wealth of data rooted in fitness training, goal-setting, and how technology can contribute to a healthy lifestyle. Managing and making sense of all that data is an extraordinary challenge and opportunity.

The Data Engineer will help build, run and improve the current data engineering platform while contributing to the design and rollout of the next platform iteration. You’ll be working cross-functionally with several teams including Analytics, Product, Marketing and eCommerce. Your key focuses will be building up our data warehousing infrastructure and providing best practices for data engineering.

ASICS Digital is a division of ASICS Corporation based in Boston, Massachusetts. Our goal is to build innovative digital technologies and commerce experiences to better connect consumers to the ASICS brand. We are responsible for the continued development of innovative ecommerce solutions and other digital services that inspire people to move, get fit and stay healthy.

What You'll Do

Design, implement, maintain, and QA the data warehousing and other data engineering platforms

What You've Done

Nice To Have




ADI is taking active steps towards becoming a diverse, equitable, and inclusive workplace. We aim to engage in D&I work that permeates our organization and all employees are expected to be actively involved.




At ADI, we don’t just accept diversity— we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products, and our community. ASICS Digital is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, veteran status, or fitness level."
5,Senior Data Engineer - Technology & Digital,https://www.linkedin.com/jobs/view/2753112635/?eBP=CwEAAAF9tCL5EP6v8kj34TN9zq5To85ViDaXDmS8QA9FpuBsY7pUE0IljIK8Xb9iynAMGLlr5rUkfVxWTdOX_AnV2sFBHv-5XtZtF7bZaEH2_0zMgGf-GJRPmoh921wSOzKGYb7QKiS1UzjrZrXnzrUeUuVQw9csA2S6tqei5WUoT8hW01j6IFYZGXYVI_pFn9oxxjOj2q73vWzSUPQWY3CGZSnlf7RZ4vEIm9tLK3B3YKrOAnjh8olKbeO_kq7klO0VbQ2wyFNNCHCWhcLGWybEd-P0xQCw8D86j1TGhmu8qjIhqWK5BWm4CUWtixueFWi-6Mo3_BaAhgTqzKvKMQ8CwogkOMAUNYjIFYsz__BYP_2rfnPBN3-zrFZ7Qo8G-7c&recommendedFlavor=SCHOOL_RECRUIT&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=Tf6g%2B8300fYl8LeznBA0XQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Qualifications
4+ years of IT experience with appetite for data management
Exposure to all facets of software development life cycle like analysis, design, development, data conversion, data security, system integration and



You will be a member of a squad with the technical capability to develop and implement our data identification, ingestion and integration solution.

In this role, you will implement new and ongoing data integration needs to complete end to end setup of the product. You will also work with data scientists to

understand their needs and provide them with the necessary information.

You will adhere to data architecture strategy, best practices, standards and roadmaps. You will manage data including definition, usage and quality via architecture repositories like data dictionary, data models, metadata and data quality logs. You will also design, build and support data pipelines for ingestion, transformation, conversion and validation.

You will also conduct data assessment, perform data quality checks, transform and load raw data using SQL and ETL tools. Your work will contribute to the overall implementation of product solutions.



You’ll work in our Atlanta or Waltham office as part of our Technology & Digital function.

The Technology & Digital group provides for all the firm’s internal software development needs. The goal is to provide McKinsey’s business thought leaders the tools and knowledge they need as they work with clients around the globe. Our development teams are small, flexible and employ agile methodologies to quickly provide our user community with the solutions they need. We combine the latest open source technologies together with traditional enterprise software products."
6,Data Engineer Lead,https://www.linkedin.com/jobs/view/2818392676/?eBP=CwEAAAF9tCL5EG5LPCdxV1rDP0ueQgyBUspfO8ZFJOzK4hI9HVlveLVgV_JXq6ZAAbUWSB-vUbr60RjuCfmbFmQKFB5nNivSfn2cMJWJDU04MAXn3NyvrYDW1ctIc_a0xiYSXY8oqeGiOyT5-peYAZkWzDl3JYxmmqbKJkyULnLbU2uGDAN_OPj09xVYFkGlPexG21r8KjrI2r7ew_FuE4V0MXwQzY_WbYRNXESy6cTiWOlivSdsK9iRLV0sgrL2KLNfV531aKsI2Jrsdr8giKjkqpFMVg83-J_FqDuGrdTcgSW3pDgl7atsKTQkFfC1FKfzh2hzXFXFn3YdyFasaRIVzFzXF77UdYY0ZfPtyXUPqFMi2bapApPrUcac0VKCa2w&recommendedFlavor=SCHOOL_RECRUIT&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=DQGHZVaCYtUl5QZa8oNgVQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Position Overview
Headquartered in Port Washington, NY with offices around the globe, The NPD Group is a leader in the collection, processing, and delivery of point-of-sale and consumer tracking data in more than 20 industries."
7,Graph Data Pipeline Engineer - Senior - Big Data Tech Consulting - Location Open,https://www.linkedin.com/jobs/view/2823015043/?eBP=CwEAAAF9tCL5EAW17JE1jvpfDpr0l9lqdttEu6skpuESE_qCb_vbR_SEWgyjhVsQwmDKa2ZmHZTH9yLBLOXoQPdeTCM8NaUSrMFlT2ErjIfOYBgVfKF3rGGd6ZGsrXWTw3OFSEMbqZW9OO5ZM3pEpQsAbXA1wAinfPk8_5PWAiTM_r8fPXCsIn1XGPnaC0qSDGq7NWQg7XlMW3jjFAoy6Hlu5SBon25BPNhny09H453Ici8YE6QPHutuq4sbam9pdzZ9bAmtR8pklvFh0q0Q1ZwstPM1Tr50qtxcxPIoO3uw6OL3opNpXPmFiCe6rZvPkhzWO0QXikIKY6aj3Y5oWePNzxKEb5PBlLt3-DFZBR32TjsfWAYlm3WBj7D5x-vn&recommendedFlavor=IN_NETWORK&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=wfckc1Mrk%2F5trc1Tr6GsXQ%3D%3D&trk=flagship3_search_srp_jobs,"About the job
At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

Graph Data Pipeline Engineer

EY advises clients to help implement modern scalable solutions required to efficiently grow their businesses, with a focus on Digital Transformation and Cloud Solutions. We have a rapidly expanding multi-sector practice area in Advanced Technology - Data Fabric, leveraging leading graph platforms and microservices architectures. Our Data Fabric practice addresses big data and knowledge graph use cases such as customer and asset 360, next best action recommendation engines, data lineage, digital twins, blockchain, supply chain resilience, social networking, cybersecurity, fraud detection and anti-money laundering.

The opportunity

This is a rapidly growing area, so you will have plenty of opportunity to develop new use cases and expand your skillset. We work with all major graph platforms (eg. Neo4j, Neptune, Cosmos, etc). EY has been named “Most Impactful Partner” by Neo4j in 2019 & 2020 and we have over 200 graph developers globally.

Your key responsibilities

You will focus on implementing leading practices in data engineering to help develop, deploy and maintain production data pipelines for full stack solutions leveraging graph databases, typically Neo4j, Neptune, Cosmos.

Skills and attributes for success


To qualify for the role you must have




We offer a competitive compensation package where you’ll be rewarded based on your performance and recognized for the value you bring to our business. In addition, our Total Rewards package includes medical and dental coverage, pension and 401(k) plans, and a wide range of paid time off options. Under our flexible vacation policy, you’ll decide how much vacation time you need based on your own personal circumstances. You’ll also be granted time off for designated EY Paid Holidays, Winter/Summer breaks, Personal/Family Care, and other leaves of absence when needed to support your physical, financial, and emotional well-being.


If you can demonstrate that you meet the criteria above, please contact us as soon as possible.

The exceptional EY experience. It’s yours to build.



EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today.

EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, in accordance with applicable law."
8,Director - Data Engineer (100% Remote - Throughout US),https://www.linkedin.com/jobs/view/2821169842/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=SCHOOL_RECRUIT&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=ri%2BfvTYUcRdX5IWxSl2h0Q%3D%3D&trk=flagship3_search_srp_jobs,"About the job
Role/Responsibilities

As a Database Engineer, you will be a core member of a cross-functional team responsible for developing and executing on a vision for how to grow the KYC/KYS business monumentally through new product innovation. We practice an agile, highly customer focused, and learning-based approach to product development that aims to bring new products to market in 9-12 months.

You will be responsible for building and maintaining high quality data pipelines that drive analytic solutions. These solutions will draw on Moody’s Analytics unique and rich data sources to generate insights for innovative products that create a new standard in the KYC/KYS space. You bring not only a deep understanding of data architecture, data engineering, data analysis, reporting, and a basic understanding of data science techniques and workflows, but also a passion for translating those skills into business impact for our customers.







Know Your Customer OU (KYC OU)

At Moody’s Analytics Know Your Customer (KYC) / Know Your Supplier (KYS), we solve problems that matter. We are a cross-functional team of sales and marketing, technology and product professionals who are all passionate about preventing criminal infiltration of the world’s financial system and bringing transparency to global supply chains by detecting fraud, terrorism, human trafficking, and other criminal threats.

We combine the agility, passion, and dynamism of a startup with the strong positioning and stability of an established institution, providing our people with dynamic career paths and mobility options across the globe, all while having access to the entire Moody’s network. We empower our people and are committed to helping them reach their goals.



24696BR



Moody's Analytics (MA)



Know Your Customer OU (KYC OU)



Regular



Alpharetta, Atlanta, Boca Raton, Boston, Charlotte, Chicago, Dallas, Hoboken, King of Prussia, Miami, New York, Newark, Omaha, San Francisco, South San Francisco, Tallahassee, Walnut Creek, Washington DC



Engineering & Technology



Database Engineering



Experienced Hire



Moody's (NYSE: MCO) is a global integrated risk assessment firm that empowers organizations to make better decisions. Our data, analytical solutions and insights help decision-makers identify opportunities and manage the risks of doing business with others. We believe that greater transparency, more informed decisions, and fair access to information open the door to shared progress. With over 11,000 employees in more than 40 countries, Moody's combines international presence with local expertise and over a century of experience in financial markets. Learn more at moodys.com .

At Moody’s, we’re taking action. We’re hiring diverse talent and providing underrepresented groups with equitable opportunities in their careers. We’re educating, empowering and elevating our people, and creating a workplace where each person can be their true selves, reach their full potential and thrive on every level. Learn more about our DE&I initiatives, employee development programs and view our annual DE&I Report at moodys.com/diversity



Moody’s Analytics provides financial intelligence and analytical tools supporting our clients’ growth, efficiency and risk management objectives. The combination of our unparalleled expertise in risk, expansive information resources, and innovative application of technology, helps today’s business leaders confidently navigate an evolving marketplace.



Must be fully vaccinated for COVID-19 (i.e., at least 2 weeks after last dose) and, if hired, present proof of vaccination on start date, as determined by Moody’s.

Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, gender, age, religion, national origin, citizen status, marital status, physical or mental disability, military or veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Moody’s also provides reasonable accommodation to qualified individuals with disabilities or based on a sincerely held religious belief in accordance with applicable laws. If you need to inquire about a reasonable accommodation, or need assistance with completing the application process, please email accommodations@moodys.com . This contact information is for accommodation requests only, and cannot be used to inquire about the status of applications.

For San Francisco positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the San Francisco Fair Chance Ordinance.

This position may be considered a promotional opportunity, pursuant to the Colorado Equal Pay for Equal Work Act.

Click here to view our full EEO policy statement . Click here for more information on your EEO rights under the law . Click here to view our Pay Transparency Nondiscrimination statement .



Candidates for Moody's Corporation may be asked to disclose securities holdings pursuant to Moody’s Policy for Securities Trading and the requirements of the position. Employment is contingent upon compliance with the Policy, including remediation of positions in those holdings as necessary.



USA



New York - 7 World Trade Center (26400)"
9,Data Engineer,https://www.linkedin.com/jobs/view/2836824578/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=G7lXJwQ%2FWRgmNt%2BF1hzhsA%3D%3D&trackingId=684j6CN8kmD4nqbNQgdyhw%3D%3D&trk=flagship3_search_srp_jobs,"About the job
About NewtonX
NewtonX is the world’s leading B2B research company. We use proprietary, AI-driven search that scans 1.1 billion professionals across 140 industries to find the exact person to answer any kind of question."
